Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Kerrigan Infested /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00001=Angry full /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00002=Angry half /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00003=Angry minimum /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00004=Fear full /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00005=Fear half /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00006=Fear minimum /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00007=Happy full /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00008=Happy half /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00009=Happy minimum /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00010=Sad full /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00011=Sad half /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00012=Sad minimum /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00013=Serious full /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00014=Serious half /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00015=Serious minimum /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00016=Surprised full /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00017=Surprised half /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00018=Surprised minimum /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00019=Angry full /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00020=Angry half /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00021=Angry minimum /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00022=Fear full /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00023=Fear half /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00024=Fear minimum /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00025=Happy full /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00026=Happy half /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00027=Happy minimum /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00028=Sad full /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00029=Sad half /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00030=Sad minimum /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00031=Serious full /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00032=Serious half /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00033=Serious minimum /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00034=Surprised full /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00035=Surprised half /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00036=Surprised minimum /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00037=Angry full /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00038=Angry half /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00039=Angry minimum /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00040=Fear full /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00041=Fear half /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00042=Fear minimum /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00043=Happy full /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00044=Happy half /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00045=Happy minimum /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00046=Sad full /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00047=Sad half /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00048=Sad minimum /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00049=Serious full /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00050=Serious half /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00051=Serious minimum /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00052=Surprised full /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00053=Surprised half /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00054=Surprised minimum /// Surprised minimum
